year,month,musim,periode,jumlah_hotspot,rata_frp,max_frp,rata_confidence,tanggal
2020,1,Hujan,2020-01,497,17.79,98.5,60.1,2020-01-01
2020,2,Hujan,2020-02,729,20.43,280.4,63.3,2020-02-01
2020,3,Hujan,2020-03,1140,29.91,1067.1,64.8,2020-03-01
2020,4,Hujan,2020-04,794,22.53,421.8,59.8,2020-04-01
2020,5,Kemarau,2020-05,293,11.77,49.8,51.1,2020-05-01
2020,6,Kemarau,2020-06,211,14.79,65.3,58.4,2020-06-01
2020,7,Kemarau,2020-07,260,14.89,151.5,58.0,2020-07-01
2020,8,Kemarau,2020-08,465,17.62,663.8,59.8,2020-08-01
2020,9,Kemarau,2020-09,287,14.37,92.7,55.7,2020-09-01
2020,10,Kemarau,2020-10,250,15.16,81.7,57.2,2020-10-01
2020,11,Hujan,2020-11,133,11.64,29.2,56.0,2020-11-01
2020,12,Hujan,2020-12,115,11.79,38.9,56.8,2020-12-01
2021,1,Hujan,2021-01,88,10.54,28.8,54.0,2021-01-01
2021,2,Hujan,2021-02,597,21.83,537.1,65.2,2021-02-01
2021,3,Hujan,2021-03,639,23.86,535.7,63.6,2021-03-01
2021,4,Hujan,2021-04,411,12.71,85.2,54.0,2021-04-01
2021,5,Kemarau,2021-05,278,11.89,68.8,52.3,2021-05-01
2021,6,Kemarau,2021-06,355,13.31,86.0,54.2,2021-06-01
2021,7,Kemarau,2021-07,775,20.52,202.5,61.3,2021-07-01
2021,8,Kemarau,2021-08,451,18.97,444.3,59.0,2021-08-01
2021,9,Kemarau,2021-09,440,17.15,286.1,56.3,2021-09-01
2021,10,Kemarau,2021-10,501,14.24,65.0,57.8,2021-10-01
2021,11,Hujan,2021-11,230,12.66,53.0,55.5,2021-11-01
2021,12,Hujan,2021-12,170,12.16,65.6,56.8,2021-12-01
2022,1,Hujan,2022-01,280,12.24,50.5,57.1,2022-01-01
2022,2,Hujan,2022-02,196,17.45,235.6,55.8,2022-02-01
2022,3,Hujan,2022-03,598,20.88,271.1,62.9,2022-03-01
2022,4,Hujan,2022-04,269,14.07,188.4,55.8,2022-04-01
2022,5,Kemarau,2022-05,376,14.86,106.7,57.3,2022-05-01
2022,6,Kemarau,2022-06,239,16.19,135.2,58.7,2022-06-01
2022,7,Kemarau,2022-07,475,17.35,113.2,60.7,2022-07-01
2022,8,Kemarau,2022-08,588,19.21,211.5,62.9,2022-08-01
2022,9,Kemarau,2022-09,265,18.41,186.4,61.1,2022-09-01
2022,10,Kemarau,2022-10,59,13.46,58.3,55.3,2022-10-01
2022,11,Hujan,2022-11,96,15.65,88.8,55.4,2022-11-01
2022,12,Hujan,2022-12,53,18.05,182.0,57.1,2022-12-01
2023,1,Hujan,2023-01,95,14.55,107.7,57.8,2023-01-01
2023,2,Hujan,2023-02,126,13.12,72.8,58.1,2023-02-01
2023,3,Hujan,2023-03,281,13.71,71.3,55.7,2023-03-01
2023,4,Hujan,2023-04,492,18.14,233.0,60.5,2023-04-01
2023,5,Kemarau,2023-05,504,16.03,224.2,58.4,2023-05-01
2023,6,Kemarau,2023-06,573,16.08,195.7,59.9,2023-06-01
2023,7,Kemarau,2023-07,534,15.99,162.2,62.5,2023-07-01
2023,8,Kemarau,2023-08,938,20.25,1156.6,62.2,2023-08-01
2023,9,Kemarau,2023-09,3477,27.8,894.0,69.2,2023-09-01
2023,10,Kemarau,2023-10,4468,31.29,1516.4,69.6,2023-10-01
2023,11,Hujan,2023-11,764,19.2,239.8,62.1,2023-11-01
2023,12,Hujan,2023-12,290,18.91,226.9,61.2,2023-12-01
2024,1,Hujan,2024-01,163,11.39,47.3,59.1,2024-01-01
2024,2,Hujan,2024-02,293,13.41,74.3,58.1,2024-02-01
2024,3,Hujan,2024-03,611,19.16,361.4,61.6,2024-03-01
2024,4,Hujan,2024-04,570,15.71,180.6,59.8,2024-04-01
2024,5,Kemarau,2024-05,352,15.28,138.5,60.0,2024-05-01
2024,6,Kemarau,2024-06,201,13.19,84.4,58.3,2024-06-01
2024,7,Kemarau,2024-07,1206,21.31,462.1,65.5,2024-07-01
2024,8,Kemarau,2024-08,1021,26.6,479.2,66.9,2024-08-01
2024,9,Kemarau,2024-09,1137,20.1,385.9,65.7,2024-09-01
2024,10,Kemarau,2024-10,1012,19.06,263.3,65.2,2024-10-01
2024,11,Hujan,2024-11,142,9.21,46.0,53.1,2024-11-01
2024,12,Hujan,2024-12,146,13.29,103.5,64.2,2024-12-01
2025,1,Hujan,2025-01,47,13.53,89.7,58.1,2025-01-01
2025,2,Hujan,2025-02,237,14.99,159.5,60.2,2025-02-01
2025,3,Hujan,2025-03,175,14.27,60.6,59.2,2025-03-01
2025,4,Hujan,2025-04,215,13.36,87.7,58.3,2025-04-01
2025,5,Kemarau,2025-05,336,15.14,94.5,63.1,2025-05-01
2025,6,Kemarau,2025-06,637,15.99,109.6,65.1,2025-06-01
2025,7,Kemarau,2025-07,1794,27.91,502.4,69.9,2025-07-01
2025,8,Kemarau,2025-08,1089,18.74,218.8,66.7,2025-08-01
2025,9,Kemarau,2025-09,639,18.62,372.1,65.0,2025-09-01
2025,10,Kemarau,2025-10,433,15.16,205.5,62.0,2025-10-01
2025,11,Hujan,2025-11,233,18.56,214.1,66.5,2025-11-01
2025,12,Hujan,2025-12,66,11.72,61.9,60.0,2025-12-01
2026,1,Hujan,2026-01,346,17.4,189.4,65.0,2026-01-01
2026,2,Hujan,2026-02,435,23.3,230.7,68.1,2026-02-01
2026,3,Hujan,2026-03,1122,30.39,1317.95,68.8,2026-03-01
2026,4,Hujan,2026-04,425,22.09,502.98,66.0,2026-04-01
2026,5,Kemarau,2026-05,359,26.61,603.41,67.4,2026-05-01
2026,6,Kemarau,2026-06,90,16.75,145.0,69.2,2026-06-01
