latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.745,101.5211,314.1,1.6,1.2,2020-01-01,0403,Terra,MODIS,52,6.03,301.1,12.6,D,2
2.9053,101.2927,318.6,1.6,1.2,2020-01-01,0404,Terra,MODIS,0,6.03,301.8,18.8,D,2
0.0823,102.8006,312.6,2.3,1.5,2020-01-01,0404,Terra,MODIS,38,6.03,291.9,24.1,D,0
1.8498,101.05,314.9,1.6,1.2,2020-01-01,0404,Terra,MODIS,24,6.03,298.1,13.8,D,0
1.3766,101.6005,315,1.8,1.3,2020-01-01,0404,Terra,MODIS,53,6.03,297.4,17.6,D,0
1.4184,101.6384,313.3,1.8,1.3,2020-01-01,0404,Terra,MODIS,34,6.03,295.9,14.3,D,0
2.0964,99.821,317.4,1.1,1,2020-01-01,0702,Aqua,MODIS,50,6.03,299.2,10.8,D,2
-3.4764,104.8606,311.7,1,1,2020-01-02,1530,Terra,MODIS,83,6.03,291.3,9.4,N,0
-3.4778,104.8658,301.7,1.1,1,2020-01-02,1828,Aqua,MODIS,35,6.03,283.9,5.1,N,0
6.0125,100.7941,309.1,1,1,2020-01-03,0351,Terra,MODIS,55,6.03,295.2,4.2,D,0
4.3804,101.113,311.1,1,1,2020-01-03,0351,Terra,MODIS,44,6.03,290.3,4.4,D,0
6.0139,100.7851,310.4,1,1,2020-01-03,0351,Terra,MODIS,59,6.03,294.5,5.1,D,0
3.37,101.5859,318.9,1.1,1,2020-01-03,0351,Terra,MODIS,46,6.03,300.6,8.8,D,2
3.0508,101.3801,316,1.1,1,2020-01-03,0351,Terra,MODIS,24,6.03,296.5,7.2,D,2
3.6708,100.9888,317.3,1,1,2020-01-03,0351,Terra,MODIS,19,6.03,300.7,7.9,D,2
1.7335,101.2481,316.9,1.1,1,2020-01-03,0352,Terra,MODIS,55,6.03,296.2,9,D,0
1.3762,104.1584,312.9,1.6,1.2,2020-01-03,0352,Terra,MODIS,17,6.03,294.2,9.4,D,2
1.735,101.2386,321.3,1.1,1,2020-01-03,0352,Terra,MODIS,71,6.03,297.7,14.1,D,0
1.7257,101.2373,334.2,1.1,1,2020-01-03,0352,Terra,MODIS,86,6.03,296,30.5,D,0
-0.3615,102.7519,308.7,1.4,1.2,2020-01-03,0352,Terra,MODIS,46,6.03,287.8,8.3,D,0
3.3521,102.2556,317.8,1.1,1,2020-01-03,0650,Aqua,MODIS,72,6.03,293.8,11.4,D,0
-3.4778,104.855,308,1.4,1.2,2020-01-04,1517,Terra,MODIS,73,6.03,290.4,10.9,N,0
1.3719,104.155,325.7,1.3,1.1,2020-01-04,1519,Terra,MODIS,100,6.03,293,33.6,N,2
1.3821,104.1534,321,1.3,1.1,2020-01-04,1519,Terra,MODIS,100,6.03,292.1,25.9,N,2
1.3844,104.157,321.6,2.1,1.4,2020-01-04,1815,Aqua,MODIS,100,6.03,293.3,55.4,N,2
1.3817,104.1762,303.6,2.1,1.4,2020-01-04,1815,Aqua,MODIS,56,6.03,293.2,12.6,N,2
1.3772,104.1632,320.5,1.1,1,2020-01-05,0339,Terra,MODIS,26,6.03,300,10.3,D,2
1.7259,101.2434,323,1.1,1,2020-01-05,0339,Terra,MODIS,73,6.03,302.4,13.1,D,0
1.718,101.2327,323.7,1.1,1,2020-01-05,0339,Terra,MODIS,62,6.03,300.7,13,D,0
1.5244,102.1072,325.5,1,1,2020-01-05,0339,Terra,MODIS,77,6.03,302.1,16.7,D,0
0.4084,102.0502,319,1,1,2020-01-05,0340,Terra,MODIS,49,6.03,302.3,9.9,D,0
0.2644,102.5295,319.3,1,1,2020-01-05,0340,Terra,MODIS,45,6.03,302.2,11.1,D,0
-0.1826,102.9168,318.1,1.1,1,2020-01-05,0636,Aqua,MODIS,71,6.03,303.2,11.4,D,0
-0.0325,102.987,317.4,1.1,1,2020-01-05,0636,Aqua,MODIS,70,6.03,297.3,10.3,D,0
-0.1053,102.9254,319.7,1.1,1,2020-01-05,0636,Aqua,MODIS,73,6.03,304.7,12.9,D,0
-2.916,101.5305,319.7,1.4,1.2,2020-01-05,0636,Aqua,MODIS,72,6.03,295.6,17.7,D,0
