latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
6.0161,101.9698,312.45,1.7,1.28,2026-03-01,0234,Terra,MODIS,44,6.1NRT,296.89,11,D
5.77021,101.07556,309.57,1.47,1.2,2026-03-01,0234,Terra,MODIS,59,6.1NRT,296.31,8.38,D
5.48179,100.60392,312.87,1.38,1.16,2026-03-01,0234,Terra,MODIS,48,6.1NRT,296.45,8.46,D
5.23417,100.47634,315.29,1.36,1.16,2026-03-01,0234,Terra,MODIS,22,6.1NRT,295.56,8,D
5.16979,100.49132,315.1,1.37,1.16,2026-03-01,0234,Terra,MODIS,71,6.1NRT,296.56,9.29,D
4.29842,104.43805,312.06,2.88,1.62,2026-03-01,0234,Terra,MODIS,0,6.1NRT,290.3,31.77,D
4.21316,100.78495,311.38,1.48,1.2,2026-03-01,0234,Terra,MODIS,66,6.1NRT,295.49,8.75,D
3.92997,102.37392,309.23,1.99,1.38,2026-03-01,0234,Terra,MODIS,53,6.1NRT,293.58,12.83,D
4.07656,101.15404,311.62,1.59,1.24,2026-03-01,0234,Terra,MODIS,65,6.1NRT,296.37,10.26,D
2.06103,103.46294,308.36,2.63,1.56,2026-03-01,0234,Terra,MODIS,46,6.1NRT,292.49,16.41,D
2.01438,103.07104,311.78,2.45,1.51,2026-03-01,0234,Terra,MODIS,61,6.1NRT,293.77,21.63,D
2.01786,103.0649,309.98,2.45,1.51,2026-03-01,0234,Terra,MODIS,56,6.1NRT,293.6,17.13,D
1.26282,103.61861,318.18,3.21,1.7,2026-03-01,0745,Aqua,MODIS,66,6.1NRT,293.49,42.66,D
-3.72997,103.14813,312.56,1,1,2026-03-02,0822,Aqua,MODIS,72,6.1NRT,279.21,9.88,D
-3.73125,103.13941,314.66,1,1,2026-03-02,0822,Aqua,MODIS,75,6.1NRT,279.57,11.58,D
-3.17472,102.71111,315.44,1.01,1,2026-03-02,0822,Aqua,MODIS,73,6.1NRT,287.04,9.98,D
-3.16595,102.70975,309.95,1.01,1,2026-03-02,0822,Aqua,MODIS,55,6.1NRT,284.91,5.85,D
-2.59272,102.2035,301.31,1.02,1.01,2026-03-02,0822,Aqua,MODIS,18,6.1NRT,273.67,3.61,D
-2.28363,101.66469,333.52,1.05,1.03,2026-03-02,0822,Aqua,MODIS,88,6.1NRT,296.02,33.05,D
-2.31357,101.21245,326.49,1.1,1.04,2026-03-02,0822,Aqua,MODIS,58,6.1NRT,290.11,21.64,D
-2.31499,101.20284,323.22,1.1,1.05,2026-03-02,0822,Aqua,MODIS,65,6.1NRT,290.01,18.73,D
-2.29245,101.22906,321.86,1.1,1.04,2026-03-02,0822,Aqua,MODIS,80,6.1NRT,286.1,18.11,D
-2.32735,100.92712,378.29,1.13,1.06,2026-03-02,0822,Aqua,MODIS,100,6.1NRT,294.04,165.74,D
-2.32879,100.91729,407.71,1.13,1.06,2026-03-02,0822,Aqua,MODIS,94,6.1NRT,301.53,352.44,D
-2.31952,100.91592,338.54,1.13,1.06,2026-03-02,0822,Aqua,MODIS,91,6.1NRT,295.74,39.99,D
-2.23681,101.16199,313.55,1.1,1.05,2026-03-02,0822,Aqua,MODIS,55,6.1NRT,289.09,9,D
-2.2337,100.99688,322.13,1.12,1.05,2026-03-02,0822,Aqua,MODIS,76,6.1NRT,273.81,20.55,D
-2.23514,100.98714,307.8,1.12,1.06,2026-03-02,0822,Aqua,MODIS,43,6.1NRT,273.35,6.42,D
-2.13396,100.98662,312.52,1.12,1.05,2026-03-02,0822,Aqua,MODIS,61,6.1NRT,280.14,10.9,D
1.81995,101.66817,316.72,1.01,1,2026-03-02,0824,Aqua,MODIS,11,6.1NRT,295.61,7.82,D
2.21323,100.95435,312.63,1.04,1.02,2026-03-02,0824,Aqua,MODIS,43,6.1NRT,288.52,8.97,D
4.79468,101.14995,307.13,1,1,2026-03-02,0824,Aqua,MODIS,39,6.1NRT,285.94,4.2,D
4.79338,101.14117,306.44,1,1,2026-03-02,0824,Aqua,MODIS,32,6.1NRT,286.11,3.63,D
5.1799,102.91849,312.06,1.07,1.03,2026-03-02,0824,Aqua,MODIS,34,6.1NRT,296.22,6.06,D
-2.15679,105.82315,306.57,1,1,2026-03-02,1357,Terra,MODIS,69,6.1NRT,292.57,5.82,N
-2.15801,105.81434,330.14,1,1,2026-03-02,1357,Terra,MODIS,100,6.1NRT,293.11,27.79,N
-2.33085,102.80136,309.83,1.35,1.15,2026-03-02,1357,Terra,MODIS,78,6.1NRT,277.72,16.62,N
-2.32093,100.92217,301.37,1.86,1.33,2026-03-02,1357,Terra,MODIS,40,6.1NRT,269.86,15.46,N
-2.32312,100.90597,311.61,1.86,1.33,2026-03-02,1357,Terra,MODIS,83,6.1NRT,270.9,31.6,N
-2.32602,100.91415,320.69,1.4,1.17,2026-03-02,2042,Aqua,MODIS,100,6.1NRT,285.94,30.73,N
1.44708,103.89635,315.61,1.23,1.1,2026-03-03,0215,Terra,MODIS,0,6.1NRT,294.92,7.41,D
5.53332,102.27079,319.1,1,1,2026-03-03,0215,Terra,MODIS,76,6.1NRT,294.51,12.47,D
5.65777,100.6799,312.28,1.05,1.02,2026-03-03,0215,Terra,MODIS,65,6.1NRT,297.74,5.1,D
1.62935,103.60786,312.05,1.18,1.08,2026-03-03,0215,Terra,MODIS,58,6.1NRT,295.52,8.01,D
1.61408,103.51232,310.48,1.16,1.07,2026-03-03,0215,Terra,MODIS,57,6.1NRT,294.84,7.27,D
1.78264,101.69308,311.44,1.01,1,2026-03-03,0215,Terra,MODIS,48,6.1NRT,289.37,6.34,D
1.78138,101.70185,312.24,1.01,1,2026-03-03,0215,Terra,MODIS,59,6.1NRT,288.4,6.79,D
